
C:\Users\mlu\Desktop\btc-shopflow\btc-shopflow-monorepo\apps\docs-app\scripts\fix-colon-separator.ts: line 168, col 66, Error - Using Chinese characters:  字符 (减少  (i18n/no-chinese-character)
C:\Users\mlu\Desktop\btc-shopflow\btc-shopflow-monorepo\apps\docs-app\scripts\fix-colon-separator.ts: line 170, col 35, Error - Using Chinese characters:  (已是正常文件)\n (i18n/no-chinese-character)
C:\Users\mlu\Desktop\btc-shopflow\btc-shopflow-monorepo\apps\docs-app\scripts\fix-colon-separator.ts: line 173, col 19, Error - Using Chinese characters:    错误:  (i18n/no-chinese-character)
C:\Users\mlu\Desktop\btc-shopflow\btc-shopflow-monorepo\apps\docs-app\scripts\fix-colon-separator.ts: line 179, col 15, Error - Using Chinese characters: '║                      修复报告                          ║' (i18n/no-chinese
-character)
C:\Users\mlu\Desktop\btc-shopflow\btc-shopflow-monorepo\apps\docs-app\scripts\fix-colon-separator.ts: line 190, col 15, Error - Using Chinese characters: 📊 统计信息： (i18n/no-chinese-character)
C:\Users\mlu\Desktop\btc-shopflow\btc-shopflow-monorepo\apps\docs-app\scripts\fix-colon-separator.ts: line 191, col 15, Error - Using Chinese characters:    - 总文件数： (i18n/no-chinese-character)
C:\Users\mlu\Desktop\btc-shopflow\btc-shopflow-monorepo\apps\docs-app\scripts\fix-colon-separator.ts: line 192, col 15, Error - Using Chinese characters:    - 需要修复： (i18n/no-chinese-character)
C:\Users\mlu\Desktop\btc-shopflow\btc-shopflow-monorepo\apps\docs-app\scripts\fix-colon-separator.ts: line 193, col 15, Error - Using Chinese characters:    - 已是正常： (i18n/no-chinese-character)
C:\Users\mlu\Desktop\btc-shopflow\btc-shopflow-monorepo\apps\docs-app\scripts\fix-colon-separator.ts: line 194, col 15, Error - Using Chinese characters:    - 修复失败： (i18n/no-chinese-character)
C:\Users\mlu\Desktop\btc-shopflow\btc-shopflow-monorepo\apps\docs-app\scripts\fix-colon-separator.ts: line 198, col 17, Error - Using Chinese characters: 🔧 修复详情： (i18n/no-chinese-character)
C:\Users\mlu\Desktop\btc-shopflow\btc-shopflow-monorepo\apps\docs-app\scripts\fix-colon-separator.ts: line 199, col 17, Error - Using Chinese characters:    - 移除冒号总数： (i18n/no-chinese-character)
C:\Users\mlu\Desktop\btc-shopflow\btc-shopflow-monorepo\apps\docs-app\scripts\fix-colon-separator.ts: line 200, col 17, Error - Using Chinese characters:    - 修复前字符数： (i18n/no-chinese-character)
C:\Users\mlu\Desktop\btc-shopflow\btc-shopflow-monorepo\apps\docs-app\scripts\fix-colon-separator.ts: line 201, col 17, Error - Using Chinese characters:    - 修复后字符数： (i18n/no-chinese-character)
